67.90339,33.95564,13.060789	48.011772	112.84938,172.33415,237.78883	54.666134
59.093903,56.14875,57.511776	36.654488	226.61835,232.25153,236.00609	34.57272
96.83154,97.27257,37.21945	44.025074	117.67586,128.70055,144.64685	45.393764
57.27919,65.610405,50.75708	32.768723	221.49338,228.6246,237.91019	29.692537
23.904043,20.86082,25.236147	25.20701	182.23451,205.65863,218.20229	37.069954
57.517105,50.95839,43.796032	23.199617	137.622,124.08781,95.52937	39.575172
78.737045,62.920567,40.989075	36.0721	192.5469,177.39748,140.70383	43.25473
50.004547,41.713318,40.253864	28.674	100.04566,112.76805,141.28223	62.678547
69.48711,70.05585,79.1941	30.852028	166.45322,178.10847,210.51814	33.714474
112.93958,117.578606,62.774563	45.642452	193.8018,202.9092,214.21642	27.137363
61.025764,59.88513,55.407406	22.936974	166.18172,186.8667,205.89732	26.437618
16.038197,17.804392,35.024025	33.803936	191.56429,203.29312,228.12247	43.876225
38.509922,38.509922,38.509922	30.50499	142.56024,142.56024,142.56024	55.971134
63.253956,64.419525,64.00348	28.21194	186.01659,186.76218,188.43576	34.992813
82.226074,75.55805,70.82299	30.474495	195.68108,209.13222,226.31377	27.559357
71.30018,100.62468,120.26137	35.424194	156.23242,187.27779,204.30634	37.267998
44.542625,62.544277,84.02746	44.59948	185.38393,185.59798,186.64014	37.51744
142.05681,162.06583,174.95242	30.735826	182.14575,196.16432,208.17395	15.788945
104.50311,111.34689,108.87313	32.416058	235.97388,236.7753,237.18143	11.224218
32.639736,49.917614,13.306932	28.246326	105.64143,153.33621,58.867657	58.70627
65.96058,58.0997,63.784924	22.20987	142.21745,162.49037,210.56113	46.29394
82.69306,70.58552,55.681644	31.277071	125.10151,151.41563,158.49097	45.195797
89.1794,74.16965,49.46942	37.07969	149.95293,204.16928,233.38206	45.117233
42.449028,35.571392,31.240202	19.894175	184.26483,169.66356,163.39053	39.222733
120.479256,178.595,235.69891	47.830944	148.89136,191.96156,238.23227	37.165684
33.385616,28.783194,29.287838	24.574913	194.69362,207.81296,228.9344	33.08852
85.260635,88.23269,76.32039	26.459929	196.07362,184.52844,174.14267	28.418802
18.474274,28.258293,36.705864	17.43306	132.65094,143.50505,154.80083	32.780376
23.19203,23.20855,23.955637	16.868006	179.30956,220.01729,205.24097	38.01641
28.527414,3.073281,24.024717	17.285471	181.26154,184.45097,169.15256	25.303461
97.64483,106.064674,112.91497	48.732315	243.13896,246.56027,247.59059	23.376293
79.78397,45.405724,42.486	39.87502	166.32837,157.14668,147.4691	44.502975
57.32114,61.27784,61.84304	14.10072	197.36955,209.43497,217.90553	20.68055
31.541527,45.094227,62.020607	23.251926	104.97563,109.694984,111.35147	22.088867
102.92327,79.1383,59.13369	47.48204	240.70422,234.69002,226.83412	28.017925
114.33955,121.03273,115.77148	30.513035	189.4003,190.82877,185.03102	27.333708
83.10288,81.466606,80.581436	39.4434	214.40593,215.88887,218.51439	34.296112
157.54793,1.3541163,2.93039	76.88806	222.53142,5.649571,12.761038	94.6725
54.01754,51.06951,51.637074	34.09842	170.47461,175.10289,174.82759	34.413654
38.920956,48.17402,43.255047	23.301184	116.57521,125.17747,120.98648	35.893375
72.876076,67.24395,61.429276	32.733448	186.7522,188.78642,173.72003	28.67151
47.461765,40.578785,24.089878	18.91527	113.740974,105.35459,52.068893	36.158966
72.7795,55.46971,37.88384	31.657084	179.14996,154.43974,120.07868	45.584724
232.94797,135.46346,124.11666	45.72299	238.1335,218.98398,224.9368	7.09998
125.01077,211.10197,219.12895	56.32573	214.7873,239.74202,229.80501	14.972114
14.219865,122.800804,176.41669	73.737885	144.63782,174.44604,174.86478	27.033632
90.12614,85.32804,75.57231	36.673065	193.45988,196.17879,198.90411	32.80187
92.240654,78.02861,56.411743	40.048195	200.5288,196.11687,185.15843	33.671677
43.26692,51.18797,55.86907	29.904675	155.25003,173.5,181.44576	39.745342
61.03368,62.18882,61.802937	32.846664	164.12224,176.45224,190.94786	31.830162
57.999546,61.693962,71.50435	27.891373	162.99007,166.2608,174.76552	31.400566
82.97343,109.245316,122.11999	38.052868	214.0199,155.36053,165.78696	37.43154
114.939575,96.8482,81.314644	35.43216	186.48682,207.62111,231.24986	27.174572
85.278206,154.54314,188.53183	45.179493	126.95932,188.26775,217.95892	39.43426
54.914852,53.031425,35.37295	25.139595	156.56113,155.45833,110.386696	50.177197
47.168255,41.341015,32.440422	28.711796	166.67117,162.11949,155.08867	43.020798
92.07339,85.85792,69.179474	37.82762	189.49168,185.13507,173.1356	40.91232
12.986237,148.86795,178.45305	74.14604	27.85587,190.86983,217.2956	86.66598
26.326916,43.008713,55.16568	47.2145	108.06651,212.94104,244.48103	69.88677
130.81758,136.70944,113.438095	47.061596	222.35777,224.73868,209.86928	15.378974
48.31042,42.06233,39.70958	28.896503	145.72322,146.81808,140.87814	51.06847
90.48005,89.663284,88.79792	42.47031	224.72826,223.92812,222.3875	37.44457
72.74755,54.370037,42.191	28.563463	171.19499,157.7199,158.64256	32.78511
69.06635,64.1863,54.041893	28.244698	218.48561,228.08122,237.46523	18.754349
68.89658,74.20788,84.032646	32.76687	219.95299,224.9953,224.81079	30.716122
33.212486,28.931534,30.618412	22.09726	250.58806,247.72722,235.49529	26.20124
66.20984,78.87516,99.77222	32.10846	173.23164,200.6141,222.5368	24.949408
20.157516,23.939262,20.45033	25.350897	117.329025,130.06609,135.68349	45.280727
79.36203,71.826935,66.93953	36.976593	228.01099,226.09595,222.12128	25.297846
109.75077,103.07779,95.02819	25.734688	173.82127,175.95471,181.49582	18.730326
92.329056,106.90067,145.54887	38.947742	211.12718,210.41107,213.69048	21.024279
43.827744,34.825016,16.750698	24.351114	157.24783,132.30266,73.465996	58.854797
31.743841,42.76708,61.99482	28.257156	126.42016,143.75137,170.32664	35.662415
39.962276,44.22139,46.459503	40.38977	183.78944,200.77184,226.01187	30.938362
55.700123,52.03329,36.891964	28.25846	165.43387,155.81139,99.631645	47.626472
36.29571,38.874527,29.552532	27.29782	107.24962,137.76784,172.90524	56.021996
243.86714,239.70143,237.50583	35.10241	251.3099,254.06322,255.27615	4.6483436
71.382385,122.04485,149.23015	46.245876	170.93277,195.6773,214.15372	30.086756
43.743492,49.31616,59.50313	33.99266	170.99567,190.3762,209.75928	38.60875
107.71856,107.71856,107.71856	47.803562	215.1885,215.1885,215.1885	28.894917
49.696766,54.09943,46.317257	13.743394	91.79893,81.8295,73.69548	19.904514
98.90983,87.325966,69.52498	32.512894	191.31238,171.25827,131.63658	41.323162
24.028315,37.14539,35.81579	18.697504	92.80671,101.92949,103.35764	29.619932
75.0467,65.37112,45.193127	31.15953	200.91408,205.87247,202.6871	36.013226
55.952045,61.4448,65.931656	42.376484	196.69948,199.17747,203.18611	35.863426
64.510765,63.95505,53.840313	38.224907	173.74323,167.20193,166.0643	30.650957
160.40993,150.79327,131.0473	23.511295	225.5708,189.87854,165.85484	16.891577
39.023663,65.59715,81.95866	33.40701	133.88596,184.07458,216.44746	43.953842
73.64723,73.713905,73.623116	42.71185	234.1674,234.1674,234.1674	34.194008
70.66859,74.58552,88.4358	32.367107	163.11264,170.62099,187.51993	42.834255
12.157188,9.320934,7.8660374	15.704594	94.559044,87.24685,83.72404	70.05348
76.38795,89.9324,107.175606	43.34565	197.99474,200.82213,204.08665	20.138092
75.41311,88.40617,99.81935	48.726646	192.28943,216.94519,233.24915	38.001465
50.45361,59.809814,66.756584	37.42085	182.64662,186.85771,186.42503	31.038818
78.60014,91.812515,108.94806	39.726482	166.67061,178.96123,199.32115	30.645885
57.16191,57.61294,31.291958	30.300179	155.55931,155.43764,99.72133	46.152176
53.21844,51.014675,42.377274	36.947483	192.24048,189.53432,186.54318	50.614246
54.162083,77.84754,99.38843	34.34425	128.47508,159.43103,188.36197	31.126867
65.51405,73.68513,84.294075	35.04282	210.08012,218.43903,221.64551	13.2849865
59.47268,103.18818,159.83652	46.39504	145.49263,176.44836,211.60286	31.209625
57.596317,53.095734,48.690186	37.439396	232.50539,231.07822,228.06688	38.855267
88.367325,63.21265,49.552242	47.77697	216.4216,203.56903,198.56596	38.301197
101.58345,92.6557,81.52577	31.592398	202.90494,202.29349,197.91338	20.198034
101.12765,87.084,73.418236	37.13701	201.13612,201.88367,205.32515	27.774149
33.00312,33.122505,37.994915	15.023089	88.26305,91.23768,94.64821	47.630676
172.29044,158.45943,145.53238	35.77286	210.07956,200.9361,194.54716	15.373148
85.3044,70.13332,51.09319	40.32061	201.32964,193.3654,172.55489	37.69566
68.01244,84.66775,104.357025	43.78312	164.05884,175.3962,186.97775	31.370344
